,subject,motion,noise_level,choice,reaction_time
0,Subject 1,right,high,left,504.36044929780496
1,Subject 1,right,high,right,503.4775391995193
2,Subject 1,right,low,right,531.7929478973017
3,Subject 1,left,high,right,529.7136050996668
4,Subject 1,left,high,left,1065.592634420388
5,Subject 1,right,low,right,513.9870772450818
6,Subject 1,right,low,right,541.423878125634
7,Subject 1,right,low,right,510.7844088290756
8,Subject 1,right,low,right,582.6567319036217
9,Subject 1,right,high,left,604.2924785147829
10,Subject 1,right,high,right,560.255768880007
11,Subject 1,left,low,left,580.6304329647808
12,Subject 1,left,low,left,512.2511455255335
13,Subject 1,left,high,left,520.8888792227976
14,Subject 1,right,high,right,700.1753957736196
15,Subject 1,right,low,right,541.5591124589255
16,Subject 1,left,high,left,558.5276119025161
17,Subject 1,right,low,right,567.1436043102339
18,Subject 1,left,high,left,510.52604291765465
19,Subject 1,right,high,right,780.9744315455184
20,Subject 1,left,high,right,683.0953603518756
21,Subject 1,right,high,left,703.2569893287065
22,Subject 1,right,low,right,567.0757275010882
23,Subject 1,left,low,left,595.8781106562634
24,Subject 1,right,high,right,559.0749824148619
25,Subject 1,right,high,right,536.6693048917217
26,Subject 1,right,low,right,649.3696362636227
27,Subject 1,left,low,left,532.5425769868734
28,Subject 1,left,low,left,516.7513988453592
29,Subject 1,right,low,left,590.4405350472844
30,Subject 1,left,low,left,626.5337895361868
31,Subject 1,left,low,left,501.2354101769417
32,Subject 1,left,low,left,509.6095055771366
33,Subject 1,right,high,right,531.8265200552969
34,Subject 1,left,low,left,557.9873642417567
35,Subject 1,right,high,right,593.2617846017133
36,Subject 1,right,high,right,781.6569797658848
37,Subject 1,right,high,right,594.4264568178652
38,Subject 1,left,high,right,697.9682740180747
39,Subject 1,left,low,left,500.3374167143393
40,Subject 1,left,low,left,538.0040646666616
41,Subject 1,right,low,right,508.4424496527239
42,Subject 1,left,low,left,669.0334461916973
43,Subject 1,right,high,right,638.1790831935192
44,Subject 1,left,low,left,516.5814041958739
45,Subject 1,right,high,right,513.5983734163075
46,Subject 1,right,high,right,639.2139386935096
47,Subject 1,left,high,left,576.5792721130537
48,Subject 1,left,high,right,530.1937395327926
49,Subject 1,left,high,right,597.520748207347
50,Subject 1,right,low,right,526.6951887041342
51,Subject 1,right,low,right,525.8714442386284
52,Subject 1,left,low,left,605.8855659990888
53,Subject 1,left,high,right,504.8252444816187
54,Subject 1,left,low,right,519.2321442931496
55,Subject 1,right,low,right,555.7750324410353
56,Subject 1,right,high,left,697.1924674224528
57,Subject 1,right,high,right,508.1215280147668
58,Subject 1,left,low,left,540.2849446483376
59,Subject 1,left,low,right,759.7303071383568
60,Subject 1,right,low,right,512.5887097201563
61,Subject 1,right,low,right,524.639013895179
62,Subject 1,left,low,left,507.360759427349
63,Subject 1,right,low,right,653.6025419190429
64,Subject 1,left,low,left,523.4241724853099
65,Subject 1,left,high,left,736.7135832582844
66,Subject 1,right,low,right,584.8127936508909
67,Subject 1,left,high,left,592.6398526092131
68,Subject 1,right,low,right,561.7423715567212
69,Subject 1,left,high,left,650.1835860441172
70,Subject 1,right,low,right,608.8416597749539
71,Subject 1,right,low,right,635.6892050316571
72,Subject 1,right,low,right,615.1285450734058
73,Subject 1,right,high,left,531.2570639251317
74,Subject 1,left,high,right,557.2650358167198
75,Subject 1,left,high,right,787.7971310954669
76,Subject 1,left,low,left,699.9082197286201
77,Subject 1,left,low,left,522.3369673072187
78,Subject 1,right,low,right,821.1620199823194
79,Subject 1,left,high,left,642.2337438143559
80,Subject 1,right,high,right,632.4209864077123
81,Subject 1,right,high,left,516.9799025106125
82,Subject 1,right,low,left,503.25995733542544
83,Subject 1,right,low,right,540.396212212657
84,Subject 1,left,low,left,524.4171120387381
85,Subject 1,right,low,right,535.6475036100126
86,Subject 1,right,high,right,569.6561684099586
87,Subject 1,right,high,left,516.0281198116389
88,Subject 1,right,low,right,514.1522805240155
89,Subject 1,left,high,right,563.9381749031674
90,Subject 1,left,high,left,569.3676174120174
91,Subject 1,right,low,right,608.1279389319103
92,Subject 1,left,high,left,742.5012516641203
93,Subject 1,right,low,right,501.32373927688565
94,Subject 1,left,high,left,771.9891211115485
95,Subject 1,left,high,right,597.979180519791
96,Subject 1,right,high,right,520.0157995205374
97,Subject 1,right,high,right,602.5159857475638
98,Subject 1,left,low,left,558.5368655366024
99,Subject 1,left,high,right,502.24711105817215
100,Subject 1,left,high,right,625.5283620019982
101,Subject 1,right,high,right,863.7298457018064
102,Subject 1,left,low,left,621.9754543121527
103,Subject 1,right,low,right,535.3727612102595
104,Subject 1,right,high,left,745.1507650760092
105,Subject 1,left,low,left,614.6772283690709
106,Subject 1,right,low,right,753.6849583344741
107,Subject 1,right,low,right,527.6696923985572
108,Subject 1,left,low,left,508.18498911976275
109,Subject 1,left,low,left,502.8016025406166
110,Subject 1,left,low,left,558.9399591618851
111,Subject 1,left,high,left,512.9272298940039
112,Subject 1,right,high,right,617.782218520476
113,Subject 1,left,high,left,526.7992267843889
114,Subject 1,left,low,right,595.1000499080567
115,Subject 1,left,low,left,512.2395875237277
116,Subject 1,left,high,left,847.1842606906949
117,Subject 1,left,low,left,508.21104358048
118,Subject 1,right,high,right,659.3757970267109
119,Subject 1,right,low,right,579.8006973035045
120,Subject 1,left,high,left,619.5006921940238
121,Subject 1,right,low,right,626.1487633698407
122,Subject 1,right,high,right,526.5967850958717
123,Subject 1,right,high,left,553.5064742127039
124,Subject 1,left,high,right,702.6971948144501
125,Subject 1,left,high,left,504.6700958100741
126,Subject 1,left,high,left,802.8935973840346
127,Subject 1,right,low,right,554.8373349907813
128,Subject 1,left,high,right,740.2396018847852
129,Subject 1,left,low,left,869.4294135493888
130,Subject 1,left,low,left,574.2927746827187
131,Subject 1,right,low,right,515.3857390690617
132,Subject 1,left,low,left,540.3762678626629
133,Subject 1,right,high,left,501.2560247421964
134,Subject 1,right,high,left,676.7965642730182
135,Subject 1,left,high,right,547.3628252903435
136,Subject 1,right,high,left,543.5245348268975
137,Subject 1,left,low,left,672.7602253481539
138,Subject 1,right,high,right,528.0601390107322
139,Subject 1,right,low,right,604.6721356771177
140,Subject 1,right,low,right,504.4521555159784
141,Subject 1,right,high,right,845.5950586449028
142,Subject 1,right,low,right,527.5561229328754
143,Subject 1,right,low,right,513.8527609189161
144,Subject 1,left,high,right,964.9160464127333
145,Subject 1,left,high,left,603.8728716178307
146,Subject 1,left,low,left,504.3101925261745
147,Subject 1,left,high,left,508.8414764528967
148,Subject 1,left,low,left,551.0850458039062
149,Subject 1,left,low,left,555.9140374158645
150,Subject 1,left,high,right,522.5859497055873
151,Subject 1,right,high,right,746.4541071713368
152,Subject 1,right,low,right,610.0796923819729
153,Subject 1,right,high,right,549.6995298578187
154,Subject 1,left,high,right,562.0536652171286
155,Subject 1,right,low,right,532.4179464609074
156,Subject 1,left,high,right,547.8082120018976
157,Subject 1,right,low,right,508.39428128518114
158,Subject 1,right,low,right,583.9041857589984
159,Subject 1,left,low,left,576.368814391892
160,Subject 1,left,high,left,557.9898758568576
161,Subject 1,left,high,left,502.4843305278353
162,Subject 1,right,low,right,530.9258819823722
163,Subject 1,left,low,left,530.349810956169
164,Subject 1,left,high,left,804.0385995937027
165,Subject 1,right,low,right,510.9977404002213
166,Subject 1,left,low,left,564.6780193812043
167,Subject 1,left,high,left,502.6802511498111
168,Subject 1,right,high,left,571.8599641900998
169,Subject 1,left,high,left,517.1585302793019
170,Subject 1,left,high,left,502.22944678805413
171,Subject 1,right,high,right,534.2439760957741
172,Subject 1,right,low,left,508.76808461326726
173,Subject 1,left,low,left,549.3641137705092
